Satellite,Epoch Time,x,y,z
GPS24,2009-06-30 12:00:00,-12660090.46263434,23226017.42183102,3754436.2653761124
GPS24,2009-06-30 14:00:00,-12660249.759730475,23225837.760781012,3755029.0409879475
GPS24,2009-06-30 15:59:44,-12661344.516828453,23225448.920861524,3753770.0713496758
GPS24,2009-06-30 16:00:00,-12661348.0724017,23225447.99659979,3753763.7182059577
GPS24,2009-06-30 17:59:44,-12660988.965711527,23225455.26723575,3754639.071366745
GPS24,2009-06-30 20:00:00,-12660312.307304015,23226000.558583915,3753665.5382949044
GPS24,2009-06-30 22:00:00,-12659588.646561759,23226213.108705852,3754702.8525718665
GPS25,2009-06-30 00:00:00,8132339.927239702,-24894350.831487246,5348690.353394206
GPS25,2009-06-30 02:00:00,8134167.319197394,-24893944.72909911,5347749.079913597
GPS25,2009-06-30 04:00:00,8133337.049286508,-24893875.901368517,5349257.392568087
GPS25,2009-06-30 05:59:44,8134010.4874947835,-24893975.98055642,5348046.796189576
GPS25,2009-06-30 06:00:00,8134013.7327224,-24893975.65683543,5348043.900704721
GPS25,2009-06-30 07:59:44,8131435.539239091,-24894511.883786377,5349101.897096301
GPS25,2009-06-30 10:00:00,8132589.505836029,-24894486.743168343,5347419.1966215465
GPS25,2009-06-30 12:00:00,8132954.8008966055,-24894173.648407623,5348373.207360078
GPS25,2009-06-30 14:00:00,8135302.379529343,-24893514.358856745,5347847.616521957
GPS25,2009-06-30 16:00:00,8133516.79000741,-24893527.60355779,5350449.775166201
GPS25,2009-06-30 18:00:00,8133679.567704249,-24893900.863343965,5348754.188340126
GPS25,2009-06-30 20:00:00,8130876.244470377,-24894414.527921803,5350311.903471791
GPS25,2009-06-30 22:00:00,8132407.743247595,-24894450.369948756,5347717.029024687
GPS26,2009-06-30 00:00:00,961464.1026536897,22388488.445770934,13314628.064368261
GPS26,2009-06-30 02:00:00,963569.8578006236,22388725.860446893,13314098.432248348
GPS26,2009-06-30 04:00:00,962345.1940335922,22387720.64273831,13315927.771955743
