Satellite,Epoch Time,Parameter,Value
QZSS02,2021-03-19 03:00:00,SVacc,2.8
QZSS02,2021-03-19 03:00:00,health,0.0
QZSS02,2021-03-19 03:00:00,TGD,9.313225746155e-10
QZSS02,2021-03-19 03:00:00,IODC,809.0
QZSS02,2021-03-19 03:00:00,TransTime,439206.0
QZSS02,2021-03-19 03:00:00,FitIntvl,0.0
QZSS03,2021-03-19 03:00:00,SVclockBias,-1.940876245499e-06
QZSS03,2021-03-19 03:00:00,SVclockDrift,-5.684341886081e-13
QZSS03,2021-03-19 03:00:00,SVclockDriftRate,0.0
QZSS03,2021-03-19 03:00:00,IODE,41.0
QZSS03,2021-03-19 03:00:00,Crs,-497.15625
QZSS03,2021-03-19 03:00:00,DeltaN,6.596703350602e-10
QZSS03,2021-03-19 03:00:00,M0,1.453928586647
QZSS03,2021-03-19 03:00:00,Cuc,-1.669675111771e-05
QZSS03,2021-03-19 03:00:00,Eccentricity,0.07448017050046
QZSS03,2021-03-19 03:00:00,Cus,-1.898035407066e-06
